Date,Source,Quote,
 , Broth Of False And True  , Nothing human's not a broth of false and true. , Buechner-quote-broth-of-false-and-true-0063  
 , Can It Be True?  ," Can it be true? No, of course it cannot. On the face of it, if you take the face seriously and face up to it, how can it possibly be true? Yet how can it not be true when our own hearts bear such powerful witness to it, when blessed moments out of our own lives speak of it so eloquently? And that no-man's-land between the Yes and the No, that everyman's land, is where faith stands and has always stood. Seeing but not seeing, understanding but not understanding, we all stand somewhere between the Yes and the No. ", Buechner-quote-can-it-be-true  
 , Christ Died For Thee  ," The next time you walk down the street, take a good look at every face you pass and in your mind say Christ died for thee. That girl. That slob. That phony. That crook. That saint. That damned fool. Christ died for thee. Take and eat this in remembrance that Christ died for thee. ", Buechner-quote-Christ-died-for-thee  
 , Christian Commitment  ," If you tell me Christian commitment is a kind of thing that has happened to you once and for all like some kind of spiritual plastic surgery, I say go to, go to, you're either pulling the wool over your own eyes or trying to pull it over mine. Every morning you should wake up in your bed and ask yourself: 'Can I believe it all again today?' No, better still, don't ask it till after you've read The New York Times, till after you've studied that daily record of the world's brokenness and corruption, which should always stand side by side with your Bible. Then ask yourself if you can believe in the Gospel of Jesus Christ again for that particular day. If your answer's always Yes, then you probably don't know what believing means. At least five times out of ten the answer should be No because the No is as important as the Yes, maybe more so. The No is what proves you're human in case you should ever doubt it. And then if some morning the answer happens to be really Yes, it should be a Yes that's choked with confession and tears and...great laughter. ", Buechner-quote-Christian-commitment-0096  
 , Come All Ye Faithful  ," This is what Matthew and Luke are trying to say in their stories about how he was born, and this is the truth that no language seemed too miraculous to them to convey. This is the only truth that matters, and the wise men, the shepherds, the star are important only as ways of pointing to this truth. So what is left to us then is the greatest question of them all. How do we know whether or not this truth is true? How do we find out for ourselves whether in this child born so long ago there really is the power to give us a new kind of life in which both suffering and joy are immeasurably deepened, a new kind of life in which little by little we begin to be able to love even our friends, at moments maybe even our enemies, maybe at last even ourselves, even God? Adeste fidelis. That is the only answer I know for people who want to find out whether or not this is true. Come all ye faithful, and all ye who would like to be faithful if only you could, all ye who walk in darkness and hunger for light. Have faith enough, hope enough, despair enough, foolishness enough at least to draw near to see for yourselves. ", Buechner-quote-come-all-ye-faithful  
 , Depression And Healing  ," God knows we have our own demons to be cast out, our own uncleanness to be cleansed. Neurotic anxiety happens to be my own particular demon, a floating sense of doom that has ruined many of what could have been, should have been, the happiest days of my life, and more than a few times in my life I have been raised from such ruins, which is another way of saying that more than a few times in my life I have been raised from death--death of the spirit anyway, death of the heart--by the healing power that Jesus calls us both to heal with and to be healed by. ", Buechner-quote-depression-and-healing-0025  
 , Despair And Sin  , Despair has been called the unforgivable sinnot presumably because God refuses to forgive it but because it despairs of the possibility of being forgiven. , Buechner-quote-despair-sin  
 ," Don't Worry, Trust God  "," Stop trying to protect, to rescue, to judge, to manage the lives around you . . . remember that the lives of others are not your business. They are their business. They are God's business . . . even your own life is not your business. It also is God's business. Leave it to God. It is an astonishing thought. It can become a life-transforming thought . . . unclench the fists of your spirit and take it easy . . . What deadens us most to God's presence within us, I think, is the inner dialogue that we are continuously engaged in with ourselves, the endless chatter of human thought. I suspect that there is nothing more crucial to true spiritual comfort . . . than being able from time to time to stop that chatter . . . ", Buechner-quote-dont-worry-trust-God  
 , Dung Beetles  ," Theology is the study of God and his ways. For all we know, dung beetles may study man and his ways and call it humanology. If so, we would probably be more touched and amused than irritated. One hopes that God feels likewise. ", Buechner-quote-dung-beetles  
 , Faith And Doubt  ," Whether your faith is that there is a God or that there is not a God, if you don't have any doubts you are either kidding yourself or asleep. ", Buechner-quote-faith-and-doubt  
 , Faith And Miracles  , A cancer inexplicably cured. A voice in a dream. A statue that weeps. A miracle is an event that strengthens faith. It is possible to look at most miracles and find a rational explanation in terms of natural cause and effect. It is possible to look at Rembrandt's Supper at Emmaeus and find a rational explanation in terms of paint and canvas. Faith in God is less apt to proceed from miracles than miracles from faith in God. , Buechner-quote-faith-miracles  
 , Faith In Waiting  ," For light to come. For the one you love to come. For the word of life to be spoken. Faith is a way of waiting - never quite knowing, never quite hearing or seeing, because in the darkness we are all but a little lost. There is doubt hard on the heels of every belief, fear hard on the heels of every hope, and many holy things lie in ruins because the world has ruined them and we have ruined them. But faith waits even so, delivered at least from that final despair which gives up waiting altogether because it sees nothing left worth waiting for. Faith waits-for the opening of a door, the sound of footsteps in the hall, that beloved voice delayed, delayed so long that there are times when you all but give up hope of ever hearing it. And when at moments you think you do hear it (if only faintly, from far away) the question is: Can it possibly be, impossibly be, that one voice of all voices? ", Buechner-quote-faith-in-waiting  
 , Fear No Evil  ," ""Yea, though I walk through the valley of the shadow of death, I will fear no evil."" The psalm does not pretend that evil and death do not exist. Terrible things happen too, and they happen to good people as well as to bad people. Even the paths of righteousness lead us through the valley of the shadow. Death lies ahead for all of us, saints and sinners alike, and for all the ones we love. The psalmist doesn't try to explain evil. He doesn't try to minimize evil. He simply says he will not fear evil. For all the power that evil has, it doesn't have the power to make him afraid. ", Buechner-quote-fear-no-evil-0009  
 , Forms Of Prayer  , Everybody prays whether he thinks of it as praying or not. The odd silence you fall into when something very beautiful is happening or something very good or very bad. The ah-h-h-h! that sometimes floats up out of you as out of a Fourth of July crowd when a sky-rocket bursts over the water. The stammer of pain at somebody else's pain. The stammer of joy at somebody else's joy. Whatever words or sounds you use for sighing with all over your life. These are all prayers in their way. These are all spoken not just to yourself but to something even more familiar than yourself and even more strange than the world. , Buechner-quote-forms-of-prayer-0042  
 , Get Up!  ," Little girl. Old girl. Old boy. Old boys and girls with high blood pressure and arthritis, and young boys and girls with tattoos and body piercing. You who believe, and you who sometimes believe and sometimes don't believe much of anything, and you who would give almost anything to believe if only you could. You happy ones and you who can hardly remember what it was like once to be happy. You who know where you're going and how to get there and you who much of the time aren't sure you're getting anywhere. ""Get up,"" he says, all of you - all of you! - and the power that is in him is the power to give life not just to the dead like the child, but to those who are only partly alive, which is to say to people like you and me who much of the time live with our lives closed to the wild beauty and miracle of things, including the wild beauty and miracle of every day we live and even of ourselves. - from Secrets in the Dark ", Buechner-quote-get-up-0100  
 , God Makes Himself Known Through Our Stories  ," My story is important not because it is mine, God knows, but because if I tell it anything like right, the chances are you will recognize that in many ways it is also yours' it is precisely through these stories in all their particularity, as I have long believed and often said, that God makes himself known to each of us more powerfully and personally. If this is true, it means that to lose track of our stories is to be profoundly impoverished not only humanly but also spiritually. ", Buechner-quote-God-makes-himself-known-through-our-stories  
 , God Speaking  ," Because the word that God speaks to us is always an incarnate word - a word spelled out to us not alphabetically, in syllables, but enigmatically, in events, even in the books we read and the movies we see - the chances are we will never get it just right. We are so used to hearing what we want to hear and remaining deaf to what it would be well for us to hear that it is hard to break the habit. But if we keep our hearts and minds open as well as our ears, if we listen with patience and hope, if we remember at all deeply and honestly, then I think we come to recognize, beyond all doubt, that, however faintly we might hear him, he is indeed speaking to us, and that, however little we may understand of it, his word to each of us is both recoverable and precious beyond telling. In that sense autobiography becomes a way of praying, and a book like this, if it matters at all, matters mostly as a call to prayer ", Buechner-quote-God-speaking-0070  
 , God Speaking To Us  ," All the absurd little meetings, decisions, inner skirmishes that go to make up our days. It all adds up to very little, and yet it all adds up to very much. Our days are full of nonsense, and yet not, because it is precisely into the nonsense of our days that God speaks to us words of great significance - not words that are written in the stars but words that are written into the raw stuff and nonsense of our days, which are not nonsense just because God speaks into the midst of them. And the words that he says, to each of us differently, are 'Be brave...be merciful...feed my lambs...press on toward the goal.' ", Buechner-quote-God-speaking-to-us-0073  
 , God Speaks In Our Personal Lives  ," If God speaks to us at all in this world, if God speaks anywhere, it is into our personal lives that he speaks. ", Buechner-quote-God-speaks-in-our-personal-lives-0066  
 , God Speaks Through His Silence  ," God speaks to us most clearly through his silence, his absence, so that we know him best through our missing him. ", Buechner-quote-God-speaks-through-silence  
 , God Speaks To Us  ," Because the word that God speaks to us is always an incarnate word - a word spelled out to us not alphabetically, in syllables, but enigmatically, in events, even in the books we read and the movies we see - the chances are we will never get it just right. We are so used to hearing what we want to hear and remaining deaf to what it would be well for us to hear that it is hard to break the habit. But if we keep our hearts and minds open as well as our ears, if we listen with patience and hope, if we remember at all deeply and honestly, then I think we come to recognize, beyond all doubt, that, however faintly we might hear him, he is indeed speaking to us, and that, however little we may understand of it, his word to each of us is both recoverable and precious beyond telling. In that sense autobiography becomes a way of praying, and a book like this, if it matters at all, matters mostly as a call to prayer. ", Buechner-quote-God-speaks-to-us  
 , God Will Be With You  ," In the long run, whether you call on him or don't call on him, God will be present with you.- from Now and Then ", Buechner-quote-God-with-you-0037  
 , God's Face  ," ""One summer day I lay upon the grass. I'd sinned, no matter how, and in sin's wake there came a kind of drowsy peace so deep I hadn't even will enough to loathe myself. I had no mind to pray. I scarcely had a mind at all, just eyes to see the greenwood overhead, just flesh to feel the sun. A light breeze blew from Wear that tossed the trees, and as I lay there watching them, they formed a face of shadows and of leaves. It was a man's green, leafy face. He gazed at me from high above. And as the branches nodded in the air, he opened up his mouth to speak. No sound came from his lips, but by their shape I knew it was my name. His was the holiest face I ever saw. My very name turned holy on his tongue. If he had bade me rise and follow him to the end of time, I would have gone. If he had bade me die for him, I would have died. When I deserved it least, God gave me most. I think it was the Savior's face itself I saw."" ", Buechner-quote-Godric-Gods-face  
 , God's Love  ," We are above all things loved - that is the good news of the gospel - and loved not just the way we turn up on Sundays in our best clothes and on our best behavior and with our best feet forward, but loved as we alone know ourselves to be, the weakest and shabbiest of what we are along with the strongest and gladdest. To come together as people who believe that just maybe this gospel is actually true should be to come together like people who have just won the Irish Sweepstakes. It should have us throwing our arms around each other like people who have just discovered that every single man and woman in those pews is not just another familiar or unfamiliar face but is our long-lost brother and our long-lost sister because despite the fact that we have all walked in different gardens and knelt at different graves, we have all, humanly speaking, come from the same place and are heading out into the same blessed mystery that awaits us all. This is the joy that is so apt to be missing, and missing not just from church but from our own lives - the joy of not just managing to believe at least part of the time that it is true that life is holy, but of actually running into that holiness head-on. ", Buechner-quote-Gods-love-0103  
 , Godric's Prayers  ," What's prayer? It's shooting shafts into the dark. What mark they strike, if any, who's to say? It's reaching for a hand you cannot touch. The silence is so fathomless that prayers like plummets vanish in the sea. You beg. You whimper. You load God down with empty praise. You tell him sins that he already knows full well. You seek to change his changeless will. Yet Godric prays the way he breathes, for else his heart would wither in his breast. Prayer is the wind that fills his sail. Else waves would dash him on the rocks, or he would drift with witless tides. And sometimes, by God's grace, a prayer is heard. ", Buechner-quote-Godrics-prayers-0007  
 , Grace and Love  , Somebody loving you is grace. Loving somebody is grace. Have you ever tried to love somebody? , Buechner-quote-loving-grace-0013  
 , Help My Unbelief  ," Lord, I believe; help my unbelief. ", Buechner-quote-help-my-unbelief  
 , I Am My Secrets  ," I not only have my secrets, I am my secrets. And you are your secrets. Our secrets are human secrets, and our trusting each other enough to share them with each other has much to do with the secret of what it is to be human. ", Buechner-quote-I-am-my-secrets  
 , I Don't Know  ," Buechner begins with 'I don't know.' Throughout his fiction and nonfiction, and even in the preaching, the issue of doubt is never far from the surface. ", Dale-Brown-quote-i-dont-know  
 , If There Were No Room For Doubt  ," Not the least of my problems is that I can hardly even imagine what kind of an experience a genuine, self-authenticating religious experience would be. Without somehow destroying me in the process, how could God reveal himself in a way that would leave no room for doubt? If there were no room for doubt, there would be no room for me. ", Buechner-quote-if-there-were-no-room-for-doubt  
 , In A Foreign Language  ," If you have even as much as a nodding acquaintance with a foreign language, try reading the Bible in that. Then you stand a chance of hearing what the Bible is actually saying instead of what you assume it must be saying because it is the Bible. ", Buechner-quote-bible-in-foreign-language-0076  
 , Inspection Sticker  ," Inspection stickers used to have printed on the back ""Drive carefully - the life you save may be your own."" That is the wisdom of men in a nutshell. What God says, on the other hand, is ""The life you save is the life you lose."" In other words, the life you clutch, hoard, guard, and play safe with is in the end a life worth little to anybody, including yourself, and only a life given away for love's sake is a life worth living. ", Buechner-quote-inspection-sticker  
 , Jesus Is Home  ," We all got secrets. I got them same as everybody else ' things we feel bad about and wish hadn't ever happened. Hurtful things. Long ago things. We're all scared and lonesome, but most of the time we keep it hid. It's like ever one of us has lost his way so bad we don't even know which way Is home any more only we're ashamed to ask. You know what would happen if we would own up we're lost and ask? Why, what would happen is we'd find out home is each other. We'd find out home is Jesus that loves us lost or found or any whichway. ", Buechner-quote-Bebb-Jesus-is-home  
 , Jesus' Stories Are Our Stories  ," Is the point of Jesus's stories that they point to the truth about you and me and our stories? We are the ones who have been mugged, and we are also the ones who pass by pretending we don't notice. Hard as it is to believe, maybe every once in a while we are even the ones who pay an arm and a leg to help. The truth of the story is not a motto suitable for framing. It is a truth that one way or another, God help us, we live out every day of our lives. It is a truth as complicated and sad as you and I ourselves are complicated and sad, and as joyous and as simple as we are too. The stories that Jesus tells are about us. Once upon a time is our time, in other words.- from the sermon ""The Truth of Stories"" - originally published in The Clown in the Belfry and later in Secrets in the Dark  ", Buechner-quote-jesus-story-our-story-0110  
 , Jesus' Story and Our Story  ," Because of this story of Jesus, each of our own stories is in countless ways different from what it would have been otherwise, and that is why in speaking about him we must speak also about ourselves and about ourselves with him and without him too because that, of course, is the other story we have in us to remember and tell. Our own story. ", Buechner-quote-Jesus-story-our-story  
 , Justice And Mercy  ," The New Testament proclaims that at some unforeseeable time in the future God will ring down the final curtain on history, and there will come a Day on which all our days and all the judgments upon us and all our judgments upon each other will themselves be judged. The judge will be Christ. In other words, the one who judges us most finally will be the one who loves us most fully. Romantic love is blind to everything except what is lovable and lovely, but Christ's love sees us with terrible clarity and sees us whole. Christ's love so wishes our joy that it is ruthless against everything in us that diminishes our joy. The worst sentence Love can pass is that we behold the suffering which Love has endured for our sake, and that is also our acquittal. The justice and mercy of the judge are ultimately one. ", Buechner-quote-justice-and-mercy-0084  
 , Life Can Be Very Eloquent  ," Every once in a while, life can be very eloquent. You go along from day to day not noticing very much, not seeing or hearing very much, and then all of a sudden, when you least expect it, very often something speaks to you with such power that it catches you off guard, makes you listen whether you want to or not. Something speaks to you out of your own life with such directness that it is as if it calls you by name and forces you to look where you have not had the heart to look before, to hear something that maybe for years you have not had the wit or the courage to hear. ", Buechner-quote-all-of-a-sudden-0082  
 , Life Has Meaning  ," The storyteller's claim, I believe, is that life has meaning ' that the things that happen to people happen not just by accident like leaves being blown off a tree by the wind but that there is order and purpose deep down behind then or inside them and that they are leading us not just anywhere but somewhere. ", buechner-quote-storyteller-life-has-meaning  
 , Life Is A Plot  ," How do I happen to believe in God? I will give one more answer which can be stated briefly. Writing novels, I got into the habit of looking for plots. After awhile, I began to suspect that my own life had a plot. And after awhile more, I began to suspect that life itself has a plot. ", Buechner-quote-life-is-a-plot  
 , Life Is A Story  ," Every storyteller, whether he is Shakespeare telling about Hamlet or Luke telling about Mary, looks out at the world much as you or I look out at it and sees things happening - people being born, growing up, working, loving, getting old, and finally dying - only then, by the very process of taking certain of these events and turning them into a story, giving them form and direction, does he make a sort of claim about events in general, about the nature of life itself. And the storyteller's claim, I believe, is that life has meaning - that the things that happen to people happen not just by accident like leaves being blown off a tree by the wind but that there is order and purpose deep down behind them or inside them and that they are leading us not just anywhere but somewhere. The power of stories is that they are telling us that life adds up somehow, that life itself is like a story. ", Buechner-quote-life-is-a-story-0044  
 , Life Is Grace  ," 'there are some things I would be willing to bet maybe even my life on. That life is grace, for instance - the givenness of it, the fathomlessness of it, the endless possibilities of its becoming transparent to something extraordinary beyond itself. That - as I picked up somewhere in Jung and whittled into the ash stick I use for tramping around through the woods sometimes - vocatus atque non vocatus Deus aderit, which I take to mean that in the long run, whether you call on him or don't call on him, God will be present with you. That if we really had our eyes open, we would see that all moments are key moments. ", Buechner-quote-life-is-grace  
 , Life Is The Miracle  ," After lecturing learnedly on miracles, a great theologian was asked to give a specific example of one. ""There is only one miracle,"" he answered. ""It is life."" Have you wept at anything during the past year? Has your heart beat faster at the sight of young beauty? Have you thought seriously about the fact that someday you are going to die? More often than not do you really listen when people are speaking to you instead of just waiting for your turn to speak? Is there anybody you know in whose place, if one of you had to suffer great pain, you would volunteer yourself? If your answer to all or most of these questions is No, the chances are that you're dead. ", Buechner-quote-life-is-the-miracle-0068  
 , Listen  ," Listen to your lives for the sound of him. Search even in the darkness for the light and the love and the life because they are there also, and we are known each one by name. ", Buechner-quote-listen-0081  
 , Listen To Your Life  ," If I were called upon to state in a few words the essence of everything I was trying to say both as a novelist and as a preacher it would be something like this: Listen to your life. See it for the fathomless mystery that it is. In the boredom and pain of it no less than in the excitement and gladness: touch, taste, smell your way to the holy and hidden heart of it because in the last analysis all moments are key moments, and life itself is grace. ", Buechner-quote-listen-to-your-life-0065  
 , Listening To Your Life  ," Listen to your life. See it for the fathomless mystery that it is. In the boredom and pain of it no less than in the excitement and gladness: touch, taste, smell your way to the holy and hidden heart of it because in the last analysis all moments are key moments, and life itself is grace. ", Buechner-quote-listen-to-your-life-0075  
 , Mad As A Hatter  ," If the world is sane, then Jesus is mad as a hatter and the Last Supper is the Mad Tea Party. The world says, Mind your own business, and Jesus says, There is no such thing as your own business. The world says, Follow the wisest course and be a success, and Jesus says, Follow me and be crucified. The world says, Drive carefully - the life you save may be your own - and Jesus says, Whoever would save his life will lose it, and whoever loses his life for my sake will find it. The world says, Get and Jesus says, Give. In terms of the world's sanity, Jesus is crazy as a coot, and anybody who thinks he can follow him without being a little crazy too is laboring less under a cross than under a delusion. ", Buechner-quote-mad-as-a-hatter-0087  
 , My Search for Home  ," Where did my homeward search take me? ' It took me and continues to take me every now and then to people in the thick of one kind of trouble or another who, because they know of my ordination, seek me out for whatever they think I may have in the way of comfort or healing, and I, who in the old days would have shrunk with fear from any such charged encounter, try to find something wise and hopeful to say to them, only little by little coming to understand that the most precious thing I have to give them is not whatever words I find to say, but simply whatever, spoken or unspoken, I have in me of Christ, which is also the most precious thing they have to give me. All too rarely, I regret to say, my search has taken me also to a sacred and profoundly silent place inside myself, where it is less that I pray than that, to paraphrase Saint Paul, the Holy Spirit itself, I believe, prays within me and for me ""with sighs too deep for words"" (Rom. 8:26). ", Buechner-quote-my-search-for-home-0098  
 , Myths and Stories  ," The raw material of a myth, like the raw material of a dream, may be something that actually happened once. But myths, like dreams, do not tell us much about that kind of actuality. The creation of man, Adam and Eve, the Tower of Babel, Oedipus - they do not tell us primarily about events. They tell us about ourselves. In popular usage, a myth has come to mean a story that is not true. Historically speaking that may well be so. Humanly speaking, a myth is a story that is always true. ", Buechner-quote-myths-and-stories  
 , Not Literally  ," If somebody claims that you have to take the Bible literally, word for word, or not at all, ask him if you have to take John the Baptist literally when he calls Jesus the Lamb of God. If somebody claims that no rational person can take a book seriously which assumes that the world was created in six days and man in an afternoon, ask him if he can take Shakespeare seriously whose scientific knowledge would have sent a third-grader into peals of laughter...Finally this. If you look at a window, you see fly-specks, dust, the crack where Junior's Frisbie hit it. If you look through a window, you see the world beyond. Something like this is the difference between those who see the Bible as a Holy Bore and those who see it as the Word of God which speaks out of the depths of an almost unimaginable past into the depths of ourselves. ", Buechner-quote-not-literally-0090  
 , On Your Own  , You can survive on your own; you can grow strong on your own; you can prevail on your own; but you cannot become human on your own. , Buechner-quote-on-your-own-0040  
 , Or Die Guessing  ," 'Dear hearts,' Bebb said, 'we got to love one another and Jesus or die guessing.' ", Buechner-quote-Bebb-or-die-guessing  
 , Or Were You Poorly Advised?  ," ""I hear you are entering the ministry,"" the woman said down the long table, meaning no real harm. ""Was it your own idea or were you poorly advised?"" And the answer that she could not have heard even if I had given it was that it was not an idea at all, neither my own or anyone else's. It was a lump in the throat. It was an itching in the feet. It was a stirring in the blood at the sound of rain. It was a sickening in the heart at the sight of misery. It was a clamoring of ghosts. It was a name which, when I wrote it out in a dream, I knew was a name worth dying for even if I was not brave enough to do the dying myself and could not even name the name for sure. ", Buechner-quote-or-were-you-poorly-advised  
 , Our Lives Are Linked  ," Or to use another metaphor, humanity is like an enormous spider web, so that if you touch it anywhere, you set the whole thing trembling'Just as John Donne believed that any man's death, when we are confronted by it, reminds us of our common destiny as human beings: to be born, to live, to struggle a while, and finally to die. We are all of us in it together...As we move around this world and as we act with kindness, perhaps, or with indifference, or with hostility, toward the people we meet, we too are setting the great spider web a-tremble. The life that I touch for good or ill will touch another life, and that in turn another, until who knows where the trembling stops or in what far place and time my touch will be felt. Our lives are linked together. No man is an island. ", Buechner-quote-our-lives-are-linked  
 , Pay Attention!  ," In just the same way faith could be called a kind of whistling in the dark too, of course. The living out of faith. The writing out of fiction. In both you shape, you fashion, you feign. Maybe what they have most richly in common is a way of paying attention. Page by page, chapter by chapter, the story unfolds. Day by day, year by year, your own story unfolds, your life's story. Things happen. People come and go. The scene shifts. Time runs by, runs out. Maybe it is all utterly meaningless. Maybe it is all unutterably meaningful. If you want to know which, pay attention. What it means to be truly human in a world that half the time we are in love with and half the time scares the hell out of us - any fiction that helps us pay attention to that is as far as I am concerned religious fiction. The unexpected sound of your name on somebody's lips. The good dream. The odd coincidence. The moment that brings tears to your eyes. The person who brings life to your life. Maybe even the smallest events hold the greatest dues. If it is God we are looking for, as I suspect we all of us are even if we don't think of it that way and wouldn't use such language on a bet, maybe the reason we haven't found him is that we are not looking in the right places. Pay attention. As a summation of all that I have had to say as a writer, I would settle for that. And as a talisman or motto for that journey in search of a homeland, which is what faith is, I would settle for that too. ", Buechner-quote-pay-attention-0078  
 , Preaching The Gospel  ," Sin and grace, absence and presence, tragedy and comedy, they divide the world between them and where they meet head on, the Gospel happens. Let the preacher preach the Gospel of their preposterous meeting as the high, unbidden, hilarious thing it is. ", Buechner-quote-preaching-the-gospel  
 , Recognizing Jesus  ," I believe that although the two disciples did not recognize Jesus on the road to Emmaus, Jesus recognized them, that he saw them as if they were the only two people in the world. And I believe that the reason why the resurrection is more than just an extraordinary event that took place some two thousand years ago and then was over and done with is that, even as I speak these words and you listen to them, he also sees each of us like that. In this dark world where you and I see so little because of our unrecognizing eyes, he, whose eye is on the sparrow, sees each one of us as the child in red. And I believe that because he sees us, not even in the darkness of death are we lost to him or lost to each other. I believe that whether we recognize him or not, or believe in him or not, or even know his name, again and again he comes and walks a little way with us along whatever road we're following. And I believe that through something that happens to us, or something we see, or somebody we know - who can ever guess how or when or where? ' he offers us, the way he did at Emmaus, the bread of life, offers us a new hope, a new vision of light that not even the dark world can overcome. ", Buechner-quote-recognizing-Jesus-0032  
 , Room For Doubt  ," If there's no room for doubt, there's no room for me. ", Buechner-quote-room-for-doubt  
